Angs,Dists,X,Y,A,B1,B2i,B2ii,B3i,B3ii,B4i,B4ii,Training_TRUE
0.0350840430979106,0.3,0.299815385425838,0.0105230538322271,0.0105230538322267,0.299815385425839,0.144646165796805,0.0929230925871281,3.76538059965833,2.2178660582968,-4.90951390987577,-3.61495492507247,-3.10650861049188
0.0350840430979106,0.35,0.349784616330145,0.0122768961375983,0.0122768961375979,0.349784616330145,0.168753860096273,0.108410274684983,3.77699732313621,2.24239038130521,-4.9048542522934,-3.65125749968477,-3.10650861049188
0.0350840430979106,0.4,0.399753847234451,0.0140307384429694,0.0140307384429699,0.399753847234451,0.192861554395741,0.123897456782837,3.78861270923894,2.26691408290698,-4.8999558396801,-3.68692361601406,-3.10650861049188
0.0350840430979106,0.45,0.449723078138758,0.0157845807483406,0.015784580748341,0.449723078138757,0.216969248695208,0.139384638880692,3.80022675796653,2.29143716310212,-4.89480643852646,-3.7219589027539,-3.10650861049188
0.0350840430979106,0.5,0.499692309043064,0.0175384230537118,0.0175384230537121,0.499692309043064,0.241076942994676,0.154871820978547,3.81183946931897,2.31595962189063,-4.88939318849337,-3.75636898859784,-3.10650861049188
0.0350840430979106,0.55,0.549661539947371,0.019292265359083,0.0192922653590832,0.549661539947371,0.265184637294144,0.170359003076401,3.82345084329627,2.34048145927251,-4.883702570294,-3.79015950223943,-3.10650861049188
0.0350840430979106,0.6,0.599630770851677,0.0210461076644542,0.0210461076644544,0.599630770851677,0.289292331593612,0.185846185174256,3.83506087989843,2.36500267524775,-4.87772037193015,-3.82333607237222,-3.10650861049188
0.0350840430979106,0.65,0.649600001755983,0.0227999499698253,0.0227999499698255,0.649600001755983,0.313400025893079,0.201333367272111,3.84666957912544,2.38952326981636,-4.87143165319861,-3.85590432768978,-3.10650861049188
0.0350840430979106,0.7,0.69956923266029,0.0245537922751965,0.0245537922751966,0.69956923266029,0.337507720192547,0.216820549369965,3.8582769409773,2.41404324297834,-4.86482070837883,-3.88786989688564,-3.10650861049188
0.0350840430979106,0.75,0.749538463564596,0.0263076345805677,0.0263076345805677,0.749538463564596,0.361615414492015,0.23230773146782,3.86988296545402,2.43856259473369,-4.85787102700876,-3.91923840865338,-3.10650861049188
0.0350840430979106,0.8,0.799507694468903,0.0280614768859389,0.0280614768859389,0.799507694468902,0.385723108791482,0.247794913565675,3.8814876525556,2.4630813250824,-4.85056525265091,-3.95001549168653,-3.10650861049188
0.0350840430979106,0.85,0.849476925373209,0.0298153191913101,0.02981531919131,0.849476925373209,0.40983080309095,0.26328209566353,3.89309100228203,2.48759943402448,-4.84288513954563,-3.98020677467865,-3.10650861049188
0.0350840430979106,0.9,0.899446156277515,0.0315691614966813,0.0315691614966811,0.899446156277516,0.433938497390417,0.278769277761384,3.90469301463332,2.51211692155992,-4.83481150704334,-4.0098178863233,-3.10650861049188
0.0350840430979106,0.95,0.949415387181822,0.0333230038020524,0.0333230038020522,0.949415387181822,0.458046191689885,0.294256459859239,3.91629368960946,2.53663378768874,-4.82632419170195,-4.03885445531403,-3.10650861049188
0.0350840430979106,1,0.999384618086128,0.0350768461074236,0.0350768461074233,0.999384618086128,0.482153885989352,0.309743641957094,3.92789302721046,2.56115003241092,-4.81740199692982,-4.06732211034438,-3.10650861049188
0.0350840430979106,1.05,1.04935384899043,0.0368306884127948,0.0368306884127945,1.04935384899043,0.50626158028882,0.325230824054948,3.93949102743632,2.58566565572647,-4.8080226400484,-4.09522648010793,-3.10650861049188
0.0350840430979106,1.1,1.09932307989474,0.038584530718166,0.0385845307181656,1.09932307989474,0.530369274588288,0.340718006152803,3.95108769028703,2.61018065763538,-4.79816269664259,-4.12257319329821,-3.10650861049188
0.0350840430979106,1.15,1.14929231079905,0.0403383730235372,0.0403383730235376,1.14929231079905,0.554476968887755,0.356205188250658,3.96268301576259,2.63469503813767,-4.78779754205949,-4.14936787860878,-3.10650861049188
0.0350840430979106,1.2,1.19926154170335,0.0420922153289083,0.0420922153289087,1.19926154170335,0.578584663187223,0.371692370348512,3.97427700386302,2.65920879723332,-4.77690128990979,-4.1756161647332,-3.10650861049188
0.0350840430979106,1.25,1.24923077260766,0.0438460576342795,0.0438460576342798,1.24923077260766,0.60269235748669,0.387179552446367,3.98586965458829,2.68372193492233,-4.76544672741794,-4.20132368036502,-3.10650861049188
0.0350840430979106,1.3,1.29920000351197,0.0455998999396507,0.045599899939651,1.29920000351197,0.626800051786158,0.402666734544222,3.99746096793843,2.70823445120472,-4.75340524745977,-4.22649605419778,-3.10650861049188
